ko_wpos	ko_pospat	ko	en	en_semantic_tags	en_semantic_tags_tokenwise	category	note
경기__05/NNG 회복/NNG	NNG NNG	경기__05 회복	recovery	B2+ A5.1+/A2.1 A9+		THE BODY & THE INDIVIDUAL	연결
수없이/MAG 많/VA	MAG VA	수없이 많	countless	N5+		NUMBERS & MEASUREMENT	연결
참사__06/NNG 당시__02/NNG	NNG NNG	참사__06 당시__02	disaster	A5.1--- X9.2- A1.1.2/W4		GENERAL & ABSTRACT TERMS	연결
경기__11/NNG 연속__02/NNG	NNG NNG	경기__11 연속__02	consecutive	N4		NUMBERS & MEASUREMENT	연결
구정__06/NNG 발전__01/NNG	NNG NNG	구정__06 발전__01	development	A2.1+ A5.1+/A2.1 H1		GENERAL & ABSTRACT TERMS	연결
국방/NNG 장관__02/NNG	NNG NNG	국방 장관__02	Secretary	I3.2/S2mf S7.1+/S2mf		MONEY & COMMERCE	연결
조리__09/NNG 과정__03/NNG	NNG NNG	조리__09 과정__03	process	A1.1.1 X4.2 | A1.1.1 Y2 M1 | Z3c		GENERAL & ABSTRACT TERMS	연결
급__04/NNG 이하__02/NNG	NNG NNG	급__04 이하__02	lower	M2 N5-/A2.1 S7.1-/A2.1 A11.1-/A2.1 X3.2-/A2.1 | M6 N3.7-- N5-- I1.3-- A5.1-- A11.1-- E4.1-- X3.2-- G2.2-- S7.1-- | N3.7-- X3.2--		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
남부__01/NNG 지방__05/NNG	NNG NNG	남부__01 지방__05	southern	M6		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
공공__02/NNG 운수__05/NNG	NNG NNG	공공__02 운수__05	Public	A10+ | S5+ A10+ | S5+c		GENERAL & ABSTRACT TERMS	연결
심문__03/NNG 영장__02/NNG	NNG NNG	심문__03 영장__02	interrogation	Q2.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
법__01/NNG 민사__01/NNG	NNG NNG	법__01 민사__01	Affairs	A1.1.1 S1.1.1 S3.2		GENERAL & ABSTRACT TERMS	연결
전문__08/NNG 인력__01/NNG	NNG NNG	전문__08 인력__01	professionals	I3.2+ I3.1 X9.1+ A5.1+ | I3.2+/S2mf X9.1+/S2mf		MONEY & COMMERCE	연결
진흥/NNG 센터__02/NNG	NNG NNG	진흥 센터__02	Center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
투자__02/NNG 활성화/NNG	NNG NNG	투자__02 활성화	investment	I1.1		MONEY & COMMERCE	연결
행복__02/NNG 지수__07/NNG	NNG NNG	행복__02 지수__07	happiness	E4.1+		EMOTIONAL ACTIONS, STATES & PROCESSES	연결
대체로/MAG 맑__01/VA	MAG VA	대체로 맑__01	mostly sunny		"mostly = ""A13.2""; sunny = ""W4 E4.1+"""		연결(토큰 단위)
어둠/NNG 속__01/NNG	NNG NNG	어둠 속__01	darkness	W2- O4.3		THE WORLD & OUR ENVIRONMENT	연결
국내__02/NNG 최고__02/NNG	NNG NNG	국내__02 최고__02	top	A11.1++ N5++ A5.1++ A1.1.1 L1- | M6 N4 N5.1+ O2 B5 K6 N5.1- | M6 N5.1+ A11.1+++ S7.1+++ N4 X9.1+++ A5.1+++		GENERAL & ABSTRACT TERMS	연결
반전__03/NNG 매력/NNG	NNG NNG	반전__03 매력	charm	O4.2+ S9%		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
주요__01/NNG 도시__03/NNG	NNG NNG	주요__01 도시__03	cities	M7		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
글로벌/NNG 진출__02/NNG	NNG NNG	글로벌 진출__02	global	W3 | W3 M7 A1.8+ O4.4 | Z3c		THE WORLD & OUR ENVIRONMENT	연결
경기__11/NNG 도중__04/NNG	NNG NNG	경기__11 도중__04	match	A6.1+ | K5.1 O2 A6.1+		GENERAL & ABSTRACT TERMS	연결
구조__08/NNG 활동__02/NNG	NNG NNG	구조__08 활동__02	activities	A1.1.1		GENERAL & ABSTRACT TERMS	연결
중앙지__02/NNG 법__01/NNG 민사__01/NNG	NNG NNG NNG	중앙지__02 법__01 민사__01	Central	Z3c		NAMES & GRAMMATICAL WORDS	연결
형사__02/NNG 고발__02/NNG	NNG NNG	형사__02 고발__02	criminal	G2.1- A5.1- | G2.1-/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
구매__02/NNG 실적__05/NNG	NNG NNG	구매__02 실적__05	purchase	I2.2		MONEY & COMMERCE	연결
제일__04/MAG 크__01/VA	MAG VA	제일__04 크__01	largest	N3.2+++ N5+++ A11.1+++		NUMBERS & MEASUREMENT	연결
인__02/NNG 이상__05/NNG 사업장/NNG	NNG NNG NNG	인__02 이상__05 사업장	workplaces	I3.1/M7		MONEY & COMMERCE	연결
과거__03/NNG 자신__01/NNG	NNG NNG	과거__03 자신__01	past	M6 | T1.1.1 | Z5		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
주__26/NNG 화요일/NNG	NNG NNG	주__26 화요일	Tuesday	T1.3		TIME	연결
민관__01/NNG 합동__01/NNG	NNG NNG	민관__01 합동__01	joint	B1 F1 H1 F3 | F1 | S5+		THE BODY & THE INDIVIDUAL	연결
경우__03/NNG 별도__01/NNG	NNG NNG	경우__03 별도__01	separate	A6.1- | A6.1- S3.1-		GENERAL & ABSTRACT TERMS	연결
도지사/NNG 소속__01/NNG	NNG NNG	도지사 소속__01	Governor	S7.1+/S2mf G1.1/S2mf O2%		SOCIAL ACTIONS, STATES & PROCESSES	연결
비례대표제/NNG 도입/NNG	NNG NNG	비례대표제 도입	representation	G1.1 C1 Q1.1 G2.1 K4		GOVT. & THE PUBLIC DOMAIN	연결
천둥/NNG 번개__01/NNG	NNG NNG	천둥 번개__01	lightning	W2/W4 N3.8+		THE WORLD & OUR ENVIRONMENT	연결
지방__05/NNG 보조금/NNG	NNG NNG	지방__05 보조금	Subsidies	I1.1		MONEY & COMMERCE	연결
시각__05/NNG 장애인/NNG	NNG NNG	시각__05 장애인	visually	X3.4		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
정무__01/NNG 수석__02/NNG	NNG NNG	정무__01 수석__02	secretary	I3.2/S2mf S7.1+/S2mf		MONEY & COMMERCE	연결
출생아/NNG 수__26/NNG	NNG NNG	출생아 수__26	births	B1 T2+		THE BODY & THE INDIVIDUAL	연결
건강__03/NNG 이상__12/NNG	NNG NNG	건강__03 이상__12	health	B2 X9.2		THE BODY & THE INDIVIDUAL	연결
피해__01/NNG 학생/NNG	NNG NNG	피해__01 학생	victims	A1.1.2/G2.1/S2mf B2-/S2mf		GENERAL & ABSTRACT TERMS	연결
시행__01/NNG 계획__01/NNG 이하__02/NNG	NNG NNG NNG	시행__01 계획__01 이하__02	implementation	A1.1.1 O2 S6+		GENERAL & ABSTRACT TERMS	연결
불법__01/NNG 주__05/NNG	NNG NNG	불법__01 주__05	illegal	G2.1-		GOVT. & THE PUBLIC DOMAIN	연결
자율/NNG 규약/NNG	NNG NNG	자율 규약	self-regulation		"self = ""S5-""; regulation = ""G2.1 A1.7+/G1.1"""		연결(토큰 단위)
채용__01/NNG 비리__08/NNG	NNG NNG	채용__01 비리__08	corruption	G2.2- G2.1- Q3		GOVT. & THE PUBLIC DOMAIN	연결
하향__01/NNG 조정__09/NNG	NNG NNG	하향__01 조정__09	downward	M6 N5-/A2.1 A5.1-/A2.1		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
국제__02/NNG 통상__01/NNG	NNG NNG	국제__02 통상__01	international	M7 | M7/S5+c K5.1 K5.1/S2mf		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
처리__02/NNG 안건/NNG 지정__14/NNG	NNG NNG NNG	처리__02 안건 지정__14	designation				미연결(전체)
의사__02/NNG 결정__01/NNG	NNG NNG	의사__02 결정__01	decisions	X6+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
청문__02/NNG 경과__04/NNG 보고서/NNG	NNG NNG NNG	청문__02 경과__04 보고서	report	Q2.2 S7.1- | Q2.2 X3.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
미러/NNG 리스__01/NNG	NNG NNG	미러 리스__01	mirrorless				미연결(전체)
입지__01/NNG 여건__01/NNG	NNG NNG	입지__01 여건__01	conditions	O4.1 S6+ B2- B2+ Z7		SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
일정__01/NNG 기간__07/NNG 동안__01/NNG	NNG NNG NNG	일정__01 기간__07 동안__01	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1		TIME	연결
고의__08/NNG 분식회계/NNG	NNG NNG	고의__08 분식회계	accounting	I2.1/I1 | Q2.2 I2.1/I1		MONEY & COMMERCE	연결
집권__01/NNG 여당__01/NNG	NNG NNG	집권__01 여당__01	ruling	S7.1+ | S7.1+ Q1.2 X6+		SOCIAL ACTIONS, STATES & PROCESSES	연결
매우__01/MAG 기쁘/VA	MAG VA	매우__01 기쁘	glad	E4.2+		EMOTIONAL ACTIONS, STATES & PROCESSES	연결
시__06/NNG 조례__03/NNG	NNG NNG	시__06 조례__03	Ordinance	G2.1		GOVT. & THE PUBLIC DOMAIN	연결
얼마나/MAG 크__01/VA	MAG VA	얼마나 크__01	how big		"big = ""N3.2+ | N3.2+ N5+ A11.1+ S1.2.5+ X5.2+"""		연결(토큰 단위)
경제__04/NNG 주체__02/NNG	NNG NNG	경제__04 주체__02	economic	I1.3- I2.1		MONEY & COMMERCE	연결
범위/NNG 안__01/NNG	NNG NNG	범위 안__01	constraints	A1.7+		GENERAL & ABSTRACT TERMS	연결
보다__02/MAG 쉽/VA	MAG VA	보다__02 쉽	more easily		"more = ""A13.3 N6++ | N5++ | Z3c""; easily = ""A12+"""		연결(토큰 단위)
활동__02/NNG 내용__02/NNG	NNG NNG	활동__02 내용__02	activities	A1.1.1		GENERAL & ABSTRACT TERMS	연결
더욱/MAG 좋__01/VA	MAG VA	더욱 좋__01	better	A5.1++ | A5.1++ G2.2++ O4.2++ | A5.1++/S2mf		GENERAL & ABSTRACT TERMS	연결
경기__11/NNG 종료/NNG	NNG NNG	경기__11 종료	game	K5.1 K5.2 X7+ A1.1.1 L2 F1 | X5.2+		ENTERTAINMENT, SPORTS & GAMES	연결
유동__02/NNG 인구__01/NNG	NNG NNG	유동__02 인구__01	populations	S2/N5c		SOCIAL ACTIONS, STATES & PROCESSES	연결
최종/NNG 엔트리/NNG	NNG NNG	최종 엔트리	final	K5.1 | N4 T2-		ENTERTAINMENT, SPORTS & GAMES	연결
휴가__01/NNG 기간__07/NNG	NNG NNG	휴가__01 기간__07	vacation	T1.3/P1- K1		TIME	연결
틀__01/NNG 안__01/NNG	NNG NNG	틀__01 안__01	framework	X4.2		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
제일__04/MAG 친하/VA	MAG VA	제일__04 친하	best	A5.1+++ A13.2 G2.2+++ O4.2+++ | A5.1+++ G2.2+++ O4.2+++		GENERAL & ABSTRACT TERMS	연결
텔레/NNG 그램/NNG	NNG NNG	텔레 그램	telegram	Q1.3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
나루__01/NNG 대통령/NNG	NNG NNG	나루__01 대통령	President	G1.1/S7.1+/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
중앙__02/NNG 지법/NNG	NNG NNG	중앙__02 지법	Central	Z3c		NAMES & GRAMMATICAL WORDS	연결
클라우드/NNG 기반__01/NNG	NNG NNG	클라우드 기반__01	cloud-based		"cloud = ""O4.3 A12- W4 | W4 N5 | Z1m""; based = ""M7 T2+ A1.1.1 O1 K5.1@ B1% | T2+ A5.1- | T2+ M6 A2.2"""		연결(토큰 단위)
후속__02/NNG 협상__01/NNG	NNG NNG	후속__02 협상__01	follow-up	N4		NUMBERS & MEASUREMENT	연결
급__04/NNG 발암물질/NNG	NNG NNG	급__04 발암물질	carcinogen				미연결(전체)
결승__01/NNG 진출__02/NNG	NNG NNG	결승__01 진출__02	finals	K5.1 P1		ENTERTAINMENT, SPORTS & GAMES	연결
당장__02/NNG 내년/NNG	NNG NNG	당장__02 내년	next	N4 | Z3c		NUMBERS & MEASUREMENT	연결
정례__03/NNG 브리핑/NNG	NNG NNG	정례__03 브리핑	briefing	Q2.1		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
이번__01/NNG 개정안/NNG	NNG NNG	이번__01 개정안	revision	A2.1+ P1		GENERAL & ABSTRACT TERMS	연결
가장__01/MAG 빠르/VA	MAG VA	가장__01 빠르	earliest	N4 T1.1.1 T4+++		NUMBERS & MEASUREMENT	연결
버스__02/NNG 운행__02/NNG	NNG NNG	버스__02 운행__02	bus	M3 | M3fn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
낮/NNG 시간__04/NNG	NNG NNG	낮 시간__04	daytime	T1.3 | Z3c		TIME	연결
문화__01/NNG 관련/NNG	NNG NNG	문화__01 관련	cultural	C1 S1.1.1 S5+		ARTS & CRAFTS	연결
정기__07/NNG 회의__04/NNG	NNG NNG	정기__07 회의__04	meetings	S1.1.3+ S3.1 K5.1 S9 A1.1.1 X9.2+ A6.1+		SOCIAL ACTIONS, STATES & PROCESSES	연결
전통__06/NNG 의상__01/NNG	NNG NNG	전통__06 의상__01	traditional	S1.1.1 A6.2+ T3++		SOCIAL ACTIONS, STATES & PROCESSES	연결
해당__05/NNG 문건/NNG	NNG NNG	해당__05 문건	document	Q1.2 X2.2+ A5.2+ | Q1.2 X2.2+ Y2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
허가__01/NNG 여부__01/NNG	NNG NNG	허가__01 여부__01	whether	Z5		NAMES & GRAMMATICAL WORDS	연결
공감/NNG 능력__02/NNG	NNG NNG	공감 능력__02	empathy	X2.5+/E1 S1.2.1+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
경제__04/NNG 현안__02/NNG	NNG NNG	경제__04 현안__02	economic	I1.3- I2.1		MONEY & COMMERCE	연결
시장__04/NNG 개척/NNG	NNG NNG	시장__04 개척	markets	I2.2 | I2.2 I2.2/H1		MONEY & COMMERCE	연결
발생/NNG 원인__02/NNG	NNG NNG	발생 원인__02	causes	A2.2 X2.1 X4.1		GENERAL & ABSTRACT TERMS	연결
담당/NNG 부서장/NNG	NNG NNG	담당 부서장	department	H2/S5+c X2.2		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
정말__01/MAG 맛있__01/VA	MAG VA	정말__01 맛있__01	really good		"really = ""A13.3 A5.2+""; good = ""A5.1+ G2.2+ A1.5.2+ | A5.1+ G2.2+ O4.2+ | A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+"""		연결(토큰 단위)
반__07/NNG 동안__01/NNG	NNG NNG	반__07 동안__01	half	N1 A13.4 | N5 | N5c		NUMBERS & MEASUREMENT	연결
경제__04/NNG 자유__03/NNG	NNG NNG	경제__04 자유__03	Economic	I1.3- I2.1		MONEY & COMMERCE	연결
지역__03/NNG 안보__02/NNG	NNG NNG	지역__03 안보__02	Regional	M7		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
유니버설/NNG 디자인/NNG	NNG NNG	유니버설 디자인	design	C1 X7+ | C1 X7+ B5		ARTS & CRAFTS	연결
출범__02/NNG 이후__02/NNG	NNG NNG	출범__02 이후__02	launch	M4 M5 T2+ | M4fn M5 T2+		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
용역/NNG 결과__02/NNG	NNG NNG	용역 결과__02	results	A2.2 X9.2 N2 A5.1 K5 Q1.1/A2.2		GENERAL & ABSTRACT TERMS	연결
인프라/NNG 코어/NNG	NNG NNG	인프라 코어	Infracore				미연결(전체)
로페/NNG 테기/NNG	NNG NNG	로페 테기	Lopetegui				미연결(전체)
관련/NNG 기사__10/NNG	NNG NNG	관련 기사__10	articles	G2.1/P1 | Q4.2 O2 Q3 G2.1/P1@		GOVT. & THE PUBLIC DOMAIN	연결
신청__01/NNG 사항__02/NNG	NNG NNG	신청__01 사항__02	application	Q1.2 A1.5.1 Y2 X5.1+ A1.1.1		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
이용__01/NNG 환경__02/NNG	NNG NNG	이용__01 환경__02	environment	W5 W3 E1 Y2 O4.1		THE WORLD & OUR ENVIRONMENT	연결
투자__02/NNG 사기__25/NNG	NNG NNG	투자__02 사기__25	investment	I1.1		MONEY & COMMERCE	연결
투런/NNG 홈런/NNG	NNG NNG	투런 홈런	two-run		"run = ""M1/N3.8+ G1.2 G2.1- X3.3 S7.1+ A1.1.1 T2++ M3 S4 A6.3+ K4 | M1/N3.8+ M1 B5 X8+ T1.3 X7/N5+ N5 K4 K5.1%"""		연결(토큰 단위)
구조__08/NNG 동물/NNG	NNG NNG	구조__08 동물	animals	L2mfn S5+c O2c		LIFE & LIVING THINGS	연결
예산__02/NNG 과장__07/NNG	NNG NNG	예산__02 과장__07	Planning	X7+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
가장__01/MAG 적__02/VA	MAG VA	가장__01 적__02	lowest	N3.7--- N5--- I1.3--- A5.1--- A11.1--- E4.1--- X3.2--- G2.2--- S7.1--- | N3.7--- X3.2---		NUMBERS & MEASUREMENT	연결
가치__06/NNG 제고__03/NNG	NNG NNG	가치__06 제고__03	value	A11.1+ I1.3 | A11.1+ I1.3 G2.2 A4.1 N1		GENERAL & ABSTRACT TERMS	연결
음식/NNG 판매/NNG	NNG NNG	음식 판매	food	F1		FOOD & FARMING	연결
확보__01/NNG 차원__01/NNG	NNG NNG	확보__01 차원__01	secure	A7+ A15+ A1.7+ E6+ | A9+ A15+ A1.7+		GENERAL & ABSTRACT TERMS	연결
거래__02/NNG 의혹/NNG	NNG NNG	거래__02 의혹	transaction	I2.2 S1.1.1 A1.1.1		MONEY & COMMERCE	연결
바다/NNG 위__01/NNG	NNG NNG	바다 위__01	sea	W3/M4		THE WORLD & OUR ENVIRONMENT	연결
가장__01/MAG 흔하/VA	MAG VA	가장__01 흔하	most common		"most = ""A13.2 N5+++ | N5+++""; common = ""A6.2+ N5++ S5+ O4.2- | M7"""		연결(토큰 단위)
상상__07/NNG 속__01/NNG	NNG NNG	상상__07 속__01	imagination	X2.1/A6.2- A5.2-		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
너무__01/MAG 재미있/VA	MAG VA	너무__01 재미있	fun	E4.1+		EMOTIONAL ACTIONS, STATES & PROCESSES	연결
위기__01/NNG 지역__03/NNG	NNG NNG	위기__01 지역__03	crisis	A12-		GENERAL & ABSTRACT TERMS	연결
지역__03/NNG 일대__03/NNG	NNG NNG	지역__03 일대__03	area	M7 A4.1 N3.6		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
너무__01/MAG 기쁘/VA	MAG VA	너무__01 기쁘	happy	E4.1+ E4.2+		EMOTIONAL ACTIONS, STATES & PROCESSES	연결
업무__02/NNG 담당/NNG	NNG NNG	업무__02 담당	bureau	G1.1 H5		GOVT. & THE PUBLIC DOMAIN	연결
참여/NNG 의사__02/NNG	NNG NNG	참여 의사__02	participate	S1.1.3+		SOCIAL ACTIONS, STATES & PROCESSES	연결
얼마나/MAG 위험하/VA	MAG VA	얼마나 위험하	how dangerous		"dangerous = ""A15- | Z3"""		연결(토큰 단위)
위안화/NNG 가치__06/NNG	NNG NNG	위안화 가치__06	value	A11.1+ I1.3 | A11.1+ I1.3 G2.2 A4.1 N1		GENERAL & ABSTRACT TERMS	연결
유관__01/NNG 기관__11/NNG	NNG NNG	유관__01 기관__11	agencies	I2.2/S5+c G1.1c		MONEY & COMMERCE	연결
국제__02/NNG 다큐/NNG	NNG NNG	국제__02 다큐	International	M7 | M7/S5+c K5.1 K5.1/S2mf		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
성접대/NNG 의혹/NNG	NNG NNG	성접대 의혹	sexual	S3.2		SOCIAL ACTIONS, STATES & PROCESSES	연결
영화__01/NNG 촬영/NNG	NNG NNG	영화__01 촬영	filming	Q4.3		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
너무__01/MAG 시끄럽/VA	MAG VA	너무__01 시끄럽	too loud		"too = ""N5++ N5.2+ A13.3""; loud = ""X3.2+ | X3.2+ O4.3"""		연결(토큰 단위)
가을__01/NNG 날씨__01/NNG	NNG NNG	가을__01 날씨__01	weather	A1.1.1 | W4		GENERAL & ABSTRACT TERMS	연결
가장__01/MAG 특별하/VA	MAG VA	가장__01 특별하	most special		"most = ""A13.2 N5+++ | N5+++""; special = ""A4.2+ A6.2- | A4.2+ G2.1/S2mf"""		연결(토큰 단위)
종료/NNG 시점__02/NNG	NNG NNG	종료 시점__02	end	M6 T2- O2 X7+ N4 | T2-		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
후속__02/NNG 조처/NNG	NNG NNG	후속__02 조처	follow-up	N4		NUMBERS & MEASUREMENT	연결
시행__01/NNG 당시__02/NNG 종전__03/NNG	NNG NNG NNG	시행__01 당시__02 종전__03	previous	N4		NUMBERS & MEASUREMENT	연결
다소__01/MAG 어렵/VA	MAG VA	다소__01 어렵	difficult	A12-		GENERAL & ABSTRACT TERMS	연결
매우__01/MAG 유사하__03/VA	MAG VA	매우__01 유사하__03	very similar		"very = ""A13.3 | A4.2+ A5.2+%""; similar = ""A6.1+"""		연결(토큰 단위)
뇌물/NNG 수수__08/NNG 혐의/NNG	NNG NNG NNG	뇌물 수수__08 혐의	bribery	G2.2-/I1.1		GOVT. & THE PUBLIC DOMAIN	연결
분위기/NNG 조성__04/NNG	NNG NNG	분위기 조성__04	atmosphere	W3 W1 E1 N3.5		THE WORLD & OUR ENVIRONMENT	연결
반__11/NNG 학생/NNG	NNG NNG	반__11 학생	students	P1/S2mf		EDUCATION	연결
에너지/NNG 절약/NNG	NNG NNG	에너지 절약	energy-saving		"energy = ""X5.2+ Y1""; saving = ""I1.1 B3 A9+ S8+ A1.9 K5.1 S9"""		연결(토큰 단위)
출범__02/NNG 이후__02/NNG	NNG NNG	출범__02 이후__02	inauguration	T2+ S1.1.1		TIME	연결
가장__01/MAG 높/VA	MAG VA	가장__01 높	The highest		"highest = ""E4.1+ F3 | N3.7+ N5+ | N3.7+ N5+ A11.1+ S7.1+ A5.1+ T3- X3.2 G2.2+ E4.1+ I1.3+ F3 O4.2- O4.6+ S9"""		연결(토큰 단위)
정치__03/NNG 개입/NNG	NNG NNG	정치__03 개입	political	G1.2		GOVT. & THE PUBLIC DOMAIN	연결
매우__01/MAG 유명하__01/VA	MAG VA	매우__01 유명하__01	very famous		"very = ""A13.3 | A4.2+ A5.2+%""; famous = ""X2.2+"""		연결(토큰 단위)
성공__01/NNG 사례__05/NNG	NNG NNG	성공__01 사례__05	successful	X9.2+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
유아교육/NNG 법__01/NNG	NNG NNG	유아교육 법__01	Education	P1 X2.3+		EDUCATION	연결
무게/NNG 중심__01/NNG	NNG NNG	무게 중심__01	center	M6 | M6 H1c M7c G1.2c K5.1mfn		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
대북__02/NNG 협상__01/NNG	NNG NNG	대북__02 협상__01	negotiations	Q2.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
상반기/NNG 동안__01/NNG	NNG NNG	상반기 동안__01	during	Z5		NAMES & GRAMMATICAL WORDS	연결
농림__01/NNG 진흥/NNG 재단__01/NNG	NNG NNG NNG	농림__01 진흥 재단__01	Foundation	T2+ H2 S5+c A5.2+ B4		TIME	연결
너무__01/MAG 세__03/VA	MAG VA	너무__01 세__03	too	N5++ N5.2+ A13.3		NUMBERS & MEASUREMENT	연결
전국__03/NNG 최대/NNG	NNG NNG	전국__03 최대	largest	N3.2+++ N5+++ A11.1+++		NUMBERS & MEASUREMENT	연결
지사__06/NNG 후보__04/NNG	NNG NNG	지사__06 후보__04	candidate	A7+ A1.2+ | G1.2/S2mf I3.1/S2mf P1/S2mf A7+ A1.2+		GENERAL & ABSTRACT TERMS	연결
정말__01/MAG 중요하__02/VA	MAG VA	정말__01 중요하__02	really important		"really = ""A13.3 A5.2+""; important = ""A11.1+"""		연결(토큰 단위)
주말__02/NNG 사이__01/NNG	NNG NNG	주말__02 사이__01	weekend	T1.3		TIME	연결
함__03/NNG 사건__01/NNG	NNG NNG	함__03 사건__01	incident	A1.4 | A3+/A5.1-		GENERAL & ABSTRACT TERMS	연결
너무__01/MAG 춥/VA	MAG VA	너무__01 춥	too cold		"too = ""N5++ N5.2+ A13.3""; cold = ""B2- O4.6- | O4.6- S1.2.1- E1- A1.1.1"""		연결(토큰 단위)
구호__02/NNG 물품/NNG	NNG NNG	구호__02 물품	supplies	A9- | A9- A9+ S8+%		GENERAL & ABSTRACT TERMS	연결
사망__04/NNG 경위__05/NNG	NNG NNG	사망__04 경위__05	death	L1-		LIFE & LIVING THINGS	연결
전문__08/NNG 사이트/NNG	NNG NNG	전문__08 사이트	website	Y2		SCIENCE & TECHNOLOGY	연결
보험금/NNG 청구__04/NNG	NNG NNG	보험금 청구__04	insurance	I1/A15-		MONEY & COMMERCE	연결
구호__02/NNG 협회/NNG	NNG NNG	구호__02 협회	Association	S5+c A6.1+/X2.1		SOCIAL ACTIONS, STATES & PROCESSES	연결
타당성/NNG 조사__30/NNG	NNG NNG	타당성 조사__30	feasibility	A7		GENERAL & ABSTRACT TERMS	연결
의결권/NNG 행사__02/NNG	NNG NNG	의결권 행사__02	rights	A5.3+ A4.2+ A1.2+ G2.2+ M6 N3.2+ A13.3 A13.2 | A5.3+/A2.1 | S7.4+ G2.2+ M6 G1.2 | Z4 | Z4 A5.3+ A4.2+ M6 A13.3 A13.2		GENERAL & ABSTRACT TERMS	연결
대외__02/NNG 활동__02/NNG	NNG NNG	대외__02 활동__02	activities	A1.1.1		GENERAL & ABSTRACT TERMS	연결
독립/NNG 영화__01/NNG	NNG NNG	독립 영화__01	independent	S5- | Z3c		SOCIAL ACTIONS, STATES & PROCESSES	연결
투자__02/NNG 기관__11/NNG	NNG NNG	투자__02 기관__11	investment	I1.1		MONEY & COMMERCE	연결
얼마나/MAG 소중하/VA	MAG VA	얼마나 소중하	how precious		"precious = ""E2+ I1.1+ E2-% A5.4-%"""		연결(토큰 단위)
비__01/NNG 피해__01/NNG	NNG NNG	비__01 피해__01	damage	A1.1.2 | A1.1.2 I1.1+/G2.1		GENERAL & ABSTRACT TERMS	연결
가장__01/MAG 힘들/VA	MAG VA	가장__01 힘들	toughest	S1.2.3+++ E3--- O4.5 A12---		SOCIAL ACTIONS, STATES & PROCESSES	연결
건물__03/NNG 밖/NNG	NNG NNG	건물__03 밖	building	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
대__04/NNG 전략__03/NNG	NNG NNG	대__04 전략__03	strategies	X7+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
인사__03/NNG 담당자/NNG	NNG NNG	인사__03 담당자	managers	S7.1+/S2mf K5.1/S2mf		SOCIAL ACTIONS, STATES & PROCESSES	연결
정부__08/NNG 세종__06/NNG 청사__11/NNG	NNG NNG NNG	정부__08 세종__06 청사__11	Government	G1.1c		GOVT. & THE PUBLIC DOMAIN	연결
도심__04/NNG 속__01/NNG	NNG NNG	도심__04 속__01	downtown	M6		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
더욱/MAG 특별하/VA	MAG VA	더욱 특별하	more special		"more = ""A13.3 N6++ | N5++ | Z3c""; special = ""A4.2+ A6.2- | A4.2+ G2.1/S2mf"""		연결(토큰 단위)
경우__03/NNG 지체__04/NNG	NNG NNG	경우__03 지체__04	delay	T4-		TIME	연결
