k_wpos	ko_pospat	ko	en	en_semantic_tags	category	note
행위/NNG	NNG	행위	activities	A1.1.1	GENERAL & ABSTRACT TERMS	연결
대학교/NNG	NNG	대학교	University	P1/H1c	EDUCATION	연결
소형__03/NNG	NNG	소형__03	small	N3.2- | N3.2- N3.7- N5- T3- A11.1- S5-/I2.1 X3.2- A5.1-	NUMBERS & MEASUREMENT	연결
남자__02/NNG	NNG	남자__02	male	S2.2 | S2.2m	SOCIAL ACTIONS, STATES & PROCESSES	연결
보__01/VV	VV	보__01	watched	X3.4 S7.1 X2.4 | X3.4 S7.1 X2.4 A1.3+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
공정위/NNG	NNG	공정위	FTC			미연결
심사__08/NNG	NNG	심사__08	review	X2.4 Q4 | X2.4/A5 P1 Q4 G3	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
또다시/MAG	MAG	또다시	again	N6+ Z4	NUMBERS & MEASUREMENT	연결
제한__01/NNG	NNG	제한__01	limit	A1.7+ | N5.1 A1.7+ M7	GENERAL & ABSTRACT TERMS	연결
구속되/VV	VV	구속되	arrested	G2.1 S8- | S8- G2.1	GOVT. & THE PUBLIC DOMAIN	연결
지켜보/VV	VV	지켜보	watching	X3.4 S7.1 X2.4 | X3.4 S7.1 X2.4 A1.3+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
활용되/VV	VV	활용되	used	A1.5.1 T3+	GENERAL & ABSTRACT TERMS	연결
승인__02/NNG	NNG	승인__02	approved	S7.4+ E2+ G1.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
넘__01/VV	VV	넘__01	beyond	M6 | M6 N4 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
통보하/VV	VV	통보하	notified	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
제출되__02/VV	VV	제출되__02	submitted	A9- S7.1-	GENERAL & ABSTRACT TERMS	연결
협의하__01/VV	VV	협의하__01	consult	Q1.1/S8+ | Q2.1 Q1.1/S8+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
종합적/NNG	NNG	종합적	comprehensive	A1.8+ P1 | P1	GENERAL & ABSTRACT TERMS	연결
이상__05/NNG	NNG	이상__05	above	M6 | M6 A5.1++ | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
부득이하/VA	VA	부득이하	unavoidable	A1.9-	GENERAL & ABSTRACT TERMS	연결
조언__01/NNG	NNG	조언__01	advice	Q2.2/S8+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
쉽/VA	VA	쉽	easier	A12++	GENERAL & ABSTRACT TERMS	연결
임명하__01/VV	VV	임명하__01	appointed	S7.1 O4.1 X7+ | S7.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
존재하/VV	VV	존재하	exist	A3+	GENERAL & ABSTRACT TERMS	연결
회담/NNG	NNG	회담	meeting	S1.1.3+ S3.1 K5.1 S9 A1.1.1 X9.2+ A6.1+	SOCIAL ACTIONS, STATES & PROCESSES	연결
산하__03/NNG	NNG	산하__03	under	A13.6 M6 | S7.1- B1 | Z5	GENERAL & ABSTRACT TERMS	연결
위반하__02/VV	VV	위반하__02	violated	A1.1.2 E3- G2.2- G2.1-	GENERAL & ABSTRACT TERMS	연결
비율__02/NNG	NNG	비율__02	percentage	N5 N5	NUMBERS & MEASUREMENT	연결
경기__05/NNG	NNG	경기__05	economic	I1.3- I2.1	MONEY & COMMERCE	연결
공개__02/NNG	NNG	공개__02	public	A10+ | S5+ A10+ | S5+c	GENERAL & ABSTRACT TERMS	연결
직접적/NNG	NNG	직접적	direct	M6 O4.4 N3.8+ S1.2 A10+ S1.1.1 | M6 Q2.2 S7.1+ K4	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
통신__01/NNG	NNG	통신__01	Reuters	Z3c	NAMES & GRAMMATICAL WORDS	연결
정상__02/NNG	NNG	정상__02	normal	A6.2+	GENERAL & ABSTRACT TERMS	연결
시도하__03/VV	VV	시도하__03	tried	X2.4 | X8+ X2.4 Q2.2 G2.1 A12-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
연설__02/NNG	NNG	연설__02	speech	Q2.1 Q3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
심하/VA	VA	심하	severe	A5.1- S1.2.5+ S1.2.1- O4.2-	GENERAL & ABSTRACT TERMS	연결
근무하/VV	VV	근무하	worked	I3.1 A1.1.1 X9.2+ A2.2	MONEY & COMMERCE	연결
감사__08/NNG	NNG	감사__08	thank	S1.2.4+	SOCIAL ACTIONS, STATES & PROCESSES	연결
용역/NNG	NNG	용역	service	A1.1.1 S8+ | S8+ S7.1- I2.2 A1.1.1 S9 I3.1 F1 G3@ G1.1@ G2.1@	GENERAL & ABSTRACT TERMS	연결
공유하__01/VV	VV	공유하__01	sharing	S1.1.2+	SOCIAL ACTIONS, STATES & PROCESSES	연결
자동__01/NNG	NNG	자동__01	automatic	A1.1.1/S5- X2.1- X7- | O2/S5- M3fn G3	GENERAL & ABSTRACT TERMS	연결
거주하/VV	VV	거주하	living	H4 L1+ | H4 L1+ I3.1 I1.1 S9%	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
원활하/VA	VA	원활하	smooth	O4.5 | X3.3 O4.5 A12+/A2.1	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
운전__02/NNG	NNG	운전__02	driving	M3 A1.1.1 X5.2+ M2 S7.1+ | N5+++ X5.2+ M3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
주요__01/NNG	NNG	주요__01	Major	A11.1+ N3.2+ | G3/S7.1+/S2mf P1 P1/S2mf | P1	GENERAL & ABSTRACT TERMS	연결
마이크/NNP	NNP	마이크	Mike	Z1m	NAMES & GRAMMATICAL WORDS	연결
보존/NNG	NNG	보존	preservation	S8+ A9+/A2.1-	SOCIAL ACTIONS, STATES & PROCESSES	연결
유지하__02/VV	VV	유지하__02	maintaining	A9+ T2++ S8+ A1.1.1 Q2.2	GENERAL & ABSTRACT TERMS	연결
상당하__02/VA	VA	상당하__02	significant	A11.1+ N5+	GENERAL & ABSTRACT TERMS	연결
높이/VV	VV	높이	increasing	N5+/A2.1	NUMBERS & MEASUREMENT	연결
신앙/NNG	NNG	신앙	faith	E6+ S9 X2.1	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
설치하__01/VV	VV	설치하__01	established	T3+	TIME	연결
자발적/NNG	NNG	자발적	voluntarily	X7+/S6- I3.1/I1.1-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
듣__01/VV	VV	듣__01	listening	X3.2	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
늦어지/VV	VV	늦어지	delayed	T4-	TIME	연결
넥센/NNP	NNP	넥센	Nexen			미연결
일각__01/NNG	NNG	일각__01	Some	A13.5 | N5 Z5	GENERAL & ABSTRACT TERMS	연결
멀__02/VA	VA	멀__02	far	A13.3 N3.3+ X9.2+ | N3.3+	GENERAL & ABSTRACT TERMS	연결
신속하__02/VA	VA	신속하__02	quickly	N3.8+	NUMBERS & MEASUREMENT	연결
구매하__02/VV	VV	구매하__02	bought	I2.2	MONEY & COMMERCE	연결
이재명/NNP	NNP	이재명	Lee	Z1mf	NAMES & GRAMMATICAL WORDS	연결
화폐/NNG	NNG	화폐	currency	I1 A6.2+	MONEY & COMMERCE	연결
연휴__02/NNG	NNG	연휴__02	holiday	K1/T1.3	ENTERTAINMENT, SPORTS & GAMES	연결
심사__08/NNG	NNG	심사__08	screening	A10- Q4.3 X2.4 B3	GENERAL & ABSTRACT TERMS	연결
의원__05/NNG	NNG	의원__05	Lawmaker			미연결
신체__02/NNG	NNG	신체__02	body	B1 O2 S5+c O4.1 S2mf	THE BODY & THE INDIVIDUAL	연결
예산안/NNG	NNG	예산안	budget	I1 | I1 G1.1/I1 I1.3-	MONEY & COMMERCE	연결
좀__02/MAG	MAG	좀__02	little	A13.7 | N3.2- T3- N3.7- N3.3- T1.3- A11.1- | N5-	GENERAL & ABSTRACT TERMS	연결
설명/NNG	NNG	설명	explains	Q2.2/A7+ A2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
추진하__02/VV	VV	추진하__02	pushed	M2 A12- N5-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
전문적/NNG	NNG	전문적	professional	I3.2+ I3.1 X9.1+ A5.1+ | I3.2+/S2mf X9.1+/S2mf	MONEY & COMMERCE	연결
발전하__01/VV	VV	발전하__01	developed	A2.1+ T2+ A5.1+/A2.1 N3.2+/A2.1 H1 A9+ C1 | A5.1+/A2.1	GENERAL & ABSTRACT TERMS	연결
불필요하/VA	VA	불필요하	unnecessary	S6-	SOCIAL ACTIONS, STATES & PROCESSES	연결
태국/NNP	NNP	태국	Thai	Z2 Z2/Q3 | Z2/S2mf	NAMES & GRAMMATICAL WORDS	연결
스웨덴/NNP	NNP	스웨덴	Sweden	Z2	NAMES & GRAMMATICAL WORDS	연결
순위/NNG	NNG	순위	ranking	A5.1 | S7.1+	GENERAL & ABSTRACT TERMS	연결
보장하__01/VV	VV	보장하__01	guarantee	A7+/Q2.2	GENERAL & ABSTRACT TERMS	연결
방식__01/NNG	NNG	방식__01	way	A13.3 | X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3	GENERAL & ABSTRACT TERMS	연결
야간/NNG	NNG	야간	night	T1.3	TIME	연결
사태__06/NNG	NNG	사태__06	situation	A3+ O4.1 M6 I3.1@	GENERAL & ABSTRACT TERMS	연결
특징/NNG	NNG	특징	characterized	A4.1 Q2.2	GENERAL & ABSTRACT TERMS	연결
결제하__01/VV	VV	결제하__01	pay	I1.1/I3.1 | I1.2 A9- I1.1/I3.1	MONEY & COMMERCE	연결
크__01/VA	VA	크__01	greatly	A13.3 A5.1+	GENERAL & ABSTRACT TERMS	연결
주장__03/NNG	NNG	주장__03	argued	Q2.1 Q2.1/A6.1- Q2.1/E3- Q2.1/A2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
눈__04/NNG	NNG	눈__04	snow	W4 | W4 Q4.3%	THE WORLD & OUR ENVIRONMENT	연결
취임/NNG	NNG	취임	inauguration	T2+ S1.1.1	TIME	연결
전통적/NNG	NNG	전통적	traditional	S1.1.1 A6.2+ T3++	SOCIAL ACTIONS, STATES & PROCESSES	연결
추가__02/NNG	NNG	추가__02	additionally	N5++	NUMBERS & MEASUREMENT	연결
수학__05/NNG	NNG	수학__05	mathematics	N2	NUMBERS & MEASUREMENT	연결
출신/NNG	NNG	출신	former	O2 | T2- N4	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
심장__02/NNG	NNG	심장__02	heart	B1 M6 A11.1+ E1 X5.2+	THE BODY & THE INDIVIDUAL	연결
계속되__02/VV	VV	계속되__02	continues	T2++	TIME	연결
불신__02/NNG	NNG	불신__02	distrust	X2.1/A5.1-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
방북/NNG	NNG	방북	visit	S1.1.1 M1	SOCIAL ACTIONS, STATES & PROCESSES	연결
대법원/NNG	NNG	대법원	Court	G2.1 H3 M7/K5.2 | S3.2 X7+	GOVT. & THE PUBLIC DOMAIN	연결
종목__01/NNG	NNG	종목__01	stocks	A9+ F1 S4 O2 I1.1 G2.1/O2%	GENERAL & ABSTRACT TERMS	연결
감소__01/NNG	NNG	감소__01	decline	N5-/A2.1 | N5-/A2.1 Q2.2	NUMBERS & MEASUREMENT	연결
경남/NNP	NNP	경남	Gyeongnam			미연결
결정되__01/VV	VV	결정되__01	determined	A2.2 A7+ X6+ | X6+	GENERAL & ABSTRACT TERMS	연결
부진하__01/VA	VA	부진하__01	sluggish	N3.8-	NUMBERS & MEASUREMENT	연결
설명하/VV	VV	설명하	explaining	Q2.2/A7+ A2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
좋아하/VV	VV	좋아하	likes	A6.1+ E2+ | E2+	GENERAL & ABSTRACT TERMS	연결
구성하/VV	VV	구성하	form	A4.1 O4.4 Q1.2 O4.1 P1@ H5@ K5.1@ G2.1-@ B1@ | T2+ A2.1+ A1.8+ A3+ A1.1.1	GENERAL & ABSTRACT TERMS	연결
적__02/VA	VA	적__02	less	A13.6 | N5-- | Z5	GENERAL & ABSTRACT TERMS	연결
반복되/VV	VV	반복되	repeated	N6+	NUMBERS & MEASUREMENT	연결
최종/NNG	NNG	최종	finally	N4	NUMBERS & MEASUREMENT	연결
인식/NNG	NNG	인식	recognition	X2.2+ X2.5+ S7.4+ G2.1+ S1.1.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
확산되/VV	VV	확산되	spreading	A1.1.1 N3.6+/A2.1 N3.3+/A2.1 N5+/A2.1 N5 T1.3	GENERAL & ABSTRACT TERMS	연결
도와드리/VV	VV	도와드리	help	S8+ | Z4	SOCIAL ACTIONS, STATES & PROCESSES	연결
측면/NNG	NNG	측면	side	A4.1 M6 N5.1- S7.3+/S5+c B1 S5+c S4c F1 S1.2 | S5+	GENERAL & ABSTRACT TERMS	연결
판단하/VV	VV	판단하	decided	X6+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
판단되/VV	VV	판단되	deemed	X2.1 X6	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
공부하/VV	VV	공부하	studied	P1 X2.4 | X7+	EDUCATION	연결
금지__04/NNG	NNG	금지__04	ban	S7.4-	SOCIAL ACTIONS, STATES & PROCESSES	연결
한편/NNG	NNG	한편	while	T1.3 | Z5	TIME	연결
인상적/NNG	NNG	인상적	impressive	O4.2+	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
공개__02/NNG	NNG	공개__02	disclosure	Q2.2 A10+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
과장__07/NNG	NNG	과장__07	director	S7.1+/S2mf K4/S2mf	SOCIAL ACTIONS, STATES & PROCESSES	연결
연결하__01/VV	VV	연결하__01	connect	A2.2 S5+ M3 A1.1.1	GENERAL & ABSTRACT TERMS	연결
결혼/NNG	NNG	결혼	married	S4 A2.2	SOCIAL ACTIONS, STATES & PROCESSES	연결
고려하__01/VV	VV	고려하__01	considered	A1.4 X2.1 X2.4 | X2.1 X2.4 X6	GENERAL & ABSTRACT TERMS	연결
횡령/NNG	NNG	횡령	embezzlement	A9+/G2.1-	GENERAL & ABSTRACT TERMS	연결
노하우/NNG	NNG	노하우	know-how	X2.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
찍__02/VV	VV	찍__02	taken	A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ B3@ | A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	GENERAL & ABSTRACT TERMS	연결
안녕하/VA	VA	안녕하	Hello	S1.1.1 | Z4	SOCIAL ACTIONS, STATES & PROCESSES	연결
멕시코/NNP	NNP	멕시코	Mexico	Z2 Z3c	NAMES & GRAMMATICAL WORDS	연결
지원__02/NNG	NNG	지원__02	aid	S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
기술력/NNG	NNG	기술력	technology	Y1	SCIENCE & TECHNOLOGY	연결
들어가__01/VV	VV	들어가__01	entered	M1 S5+ Q1.2 | M1 S5+ Q1.2 T2+ A1.8+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
감사하__05/VV	VV	감사하__05	grateful	S1.2.4+ E4.2+	SOCIAL ACTIONS, STATES & PROCESSES	연결
유리하__01/VA	VA	유리하__01	advantageous	A5.1+ A1.5.2+	GENERAL & ABSTRACT TERMS	연결
걸리__01/VV	VV	걸리__01	took	A9+ T1.3 C1 A1.1.1 M2 A2.1+ X2.4 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	GENERAL & ABSTRACT TERMS	연결
특징/NNG	NNG	특징	feature	A10+ | O4.1 Q4.2 Q4.3 W3	GENERAL & ABSTRACT TERMS	연결
조제__05/NNG	NNG	조제__05	Article	G2.1/P1 | Q4.2 O2 Q3 G2.1/P1@	GOVT. & THE PUBLIC DOMAIN	연결
행위/NNG	NNG	행위	acts	A1.1.1 K4 | A1.1.1 T1.1.2 A8 K4 | A5.4- G2.1 K4 A1.1.1 S9/Q4.1@ P1%	GENERAL & ABSTRACT TERMS	연결
취소__01/NNG	NNG	취소__01	cancel	T2-	TIME	연결
실수__01/NNG	NNG	실수__01	mistakes	A5.3-	GENERAL & ABSTRACT TERMS	연결
다소__01/MAG	MAG	다소__01	somewhat	A13.6	GENERAL & ABSTRACT TERMS	연결
인원/NNG	NNG	인원	number	N1 | N5 | N5 N1 Q1.3 K2 Q4.2	NUMBERS & MEASUREMENT	연결
작성하/VV	VV	작성하	prepared	A1.1.1 F1 | X7+ O4.1	GENERAL & ABSTRACT TERMS	연결
얼마/NNG	NNG	얼마	long	N3.7+ T1.3+ N3.3+ N3.2+ | T1.3+ | X7+	NUMBERS & MEASUREMENT	연결
저렴하/VA	VA	저렴하	cheaper	I1.3-- O4.2--	MONEY & COMMERCE	연결
애플/NNP	NNP	애플	Apple	Z3c	NAMES & GRAMMATICAL WORDS	연결
토론토/NNP	NNP	토론토	Toronto	Z2	NAMES & GRAMMATICAL WORDS	연결
연말__02/NNG	NNG	연말__02	year	T1.3 P1c	TIME	연결
준비/NNG	NNG	준비	prepared	A1.1.1 F1 | X7+ O4.1	GENERAL & ABSTRACT TERMS	연결
범행__01/NNG	NNG	범행__01	crime	G2.1-	GOVT. & THE PUBLIC DOMAIN	연결
접근/NNG	NNG	접근	approach	M1 A1.1.1 Q2.2 | X4.2 M1 E1 S1.1.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
트렌드/NNG	NNG	트렌드	trends	A6.2+ A2.1+	GENERAL & ABSTRACT TERMS	연결
이어__01/MAG	MAG	이어__01	added	N5+/A2.1 A1.8+	NUMBERS & MEASUREMENT	연결
상반기/NNG	NNG	상반기	year	T1.3 P1c	TIME	연결
거리__01/NNG	NNG	거리__01	streets	M3/H3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
봉사__03/NNG	NNG	봉사__03	volunteer	A9-/X7+ Q2.2 | I3.1/I1.1-/S2mf I3.1/X7+/S2mf G3/S2mf	GENERAL & ABSTRACT TERMS	연결
계열사/NNG	NNG	계열사	affiliates	S5+ | S5+mfn	SOCIAL ACTIONS, STATES & PROCESSES	연결
입법/NNG	NNG	입법	legislation	G2.1	GOVT. & THE PUBLIC DOMAIN	연결
국경__01/NNG	NNG	국경__01	border	M7/G1.1 M6 | M7/G1.1 O2 B5 L3/H3 | Z3c	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
민주주의/NNG	NNG	민주주의	democracy	G1.2	GOVT. & THE PUBLIC DOMAIN	연결
노출/NNG	NNG	노출	exposure	A15- A10+ Q4 C1	GENERAL & ABSTRACT TERMS	연결
제공__04/NNG	NNG	제공__04	providing	A9- | Z7	GENERAL & ABSTRACT TERMS	연결
실현하/VV	VV	실현하	realize	X2.5+ X9.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
전남/NNP	NNP	전남	Jeonnam			미연결
여수__14/NNP	NNP	여수__14	Yeosu			미연결
맞__01/VV	VV	맞__01	fit	A1.2+ B2+ | B2- N3.2/A5.1+ E6- | N3.2/A5.1+ N3.2 A1.2+ M2 B2-	GENERAL & ABSTRACT TERMS	연결
드러나/VV	VV	드러나	found	A10+ X2.1 X6+ T2+ A2.2 A1.1.1	GENERAL & ABSTRACT TERMS	연결
구축__03/NNG	NNG	구축__03	establish	T2+ X6+	TIME	연결
돕/VV	VV	돕	helping	S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
정하__03/VV	VV	정하__03	determine	A2.2 A7+ X6+	GENERAL & ABSTRACT TERMS	연결
인정하/VV	VV	인정하	acknowledged	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
자신__01/NNG	NNG	자신__01	myself	Z8mf	NAMES & GRAMMATICAL WORDS	연결
말씀하/VV	VV	말씀하	tell	Q2.2 Q2.1 X3 A10+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
대부분/MAG	MAG	대부분	mostly	A13.2	GENERAL & ABSTRACT TERMS	연결
책임지/VV	VV	책임지	responsible	A2.2 S6+ S7.1 S1.2.6+ X6+	GENERAL & ABSTRACT TERMS	연결
취소하__01/VV	VV	취소하__01	canceled	T2-	TIME	연결
농업/NNG	NNG	농업	agricultural	F4	FOOD & FARMING	연결
주의__07/NNG	NNG	주의__07	attention	X5.1+ S8+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
이닝/NNG	NNG	이닝	innings	K5.1c	ENTERTAINMENT, SPORTS & GAMES	연결
모두__01/NNG	NNG	모두__01	both	N5 | Z5	NUMBERS & MEASUREMENT	연결
산업단지/NNG	NNG	산업단지	industrial	I4	MONEY & COMMERCE	연결
잘하/VV	VV	잘하	well	A10+ E1+ | A5.1+ A13.3 A7+ B2+ Z4 | B2+ | W3/M4 W3 | Z4	GENERAL & ABSTRACT TERMS	연결
세우__01/VV	VV	세우__01	set	M2 M6 O4.5 O4.1 W4 A1.1.1 B3 B4 X6+ S6+ K2 Q4.3 | N5 N2 K4 O4.1 O3 S5+c O4.5 K5.1% | X6+ O4.5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
다이어트/NNG	NNG	다이어트	diet	F1 | F1 T1.2%	FOOD & FARMING	연결
중단되/VV	VV	중단되	suspended	M2 I3.1- P1/G2.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
뜻/NNG	NNG	뜻	meaning	X2.1 A11.1+ Q3 X7+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
주위__02/NNG	NNG	주위__02	around	A13.4 M6 | Z5	GENERAL & ABSTRACT TERMS	연결
예능/NNG	NNG	예능	entertainment	K1	ENTERTAINMENT, SPORTS & GAMES	연결
작성하/VV	VV	작성하	written	Q1.2 | Q1.2 I2.1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
요금__01/NNG	NNG	요금__01	fee	I1.3 I1	MONEY & COMMERCE	연결
통합/NNG	NNG	통합	Integrated	A1.8+ S5+ A2.2 N2%	GENERAL & ABSTRACT TERMS	연결
갖추/VV	VV	갖추	equipped	A9 X9.1+ | A9+ X9.1+	GENERAL & ABSTRACT TERMS	연결
자랑스럽/VA	VA	자랑스럽	proud	E4.2+/S1.2 S1.2.3+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
상승__01/NNG	NNG	상승__01	rise	M1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 N3.7+/A2.1 | N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 O4.4	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
조항__02/NNG	NNG	조항__02	clause	Q1.2 Q3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
앞서/VV	VV	앞서	Prior	N4/T1.1.1 | N4/T1.1.1 A11.1+ | S9/S2.2m	NUMBERS & MEASUREMENT	연결
수상자/NNG	NNG	수상자	winners	X9.2+/S7.3/S2mf X9.2+/G3/S2mf | Z3c	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
제한__01/NNG	NNG	제한__01	restriction	A1.7+	GENERAL & ABSTRACT TERMS	연결
지속하/VV	VV	지속하	continue	T2++	TIME	연결
문제__06/NNG	NNG	문제__06	problematic	A12-	GENERAL & ABSTRACT TERMS	연결
보이__01/VV	VV	보이__01	seem	A8	GENERAL & ABSTRACT TERMS	연결
실시간/NNG	NNG	실시간	real-time	Y2 T1.1.2	SCIENCE & TECHNOLOGY	연결
선보이/VV	VV	선보이	showcase	A10+	GENERAL & ABSTRACT TERMS	연결
검토하/VV	VV	검토하	reviewing	X2.4/A5 P1 Q4 G3	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
통하/VV	VV	통하	Through	M6 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
움직이/VV	VV	움직이	moving	M1 M2 E1 | M2 M1 A2.1+ E1 H4/A2.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
추진하__02/VV	VV	추진하__02	promoting	S8+ I2.2/Q2.2 S7.1+/A2.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
단순히/MAG	MAG	단순히	simply	A13.6 A14 A12+	GENERAL & ABSTRACT TERMS	연결
상처__02/NNG	NNG	상처__02	hurt	B2- E4.1- A1.1.2	THE BODY & THE INDIVIDUAL	연결
진출__02/NNG	NNG	진출__02	advance	I1.1 M1/G3 S3.2 A5.1+/A2.1+ | M1 A5.1+/A2.1+ I1.1 T4+ S8+ X2.1 | T4+ N4	MONEY & COMMERCE	연결
국정__02/NNG	NNG	국정__02	affairs	A1.1.1 S1.1.1 S3.2	GENERAL & ABSTRACT TERMS	연결
애정__02/NNG	NNG	애정__02	affection	E2+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
하락하/VV	VV	하락하	fell	M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- K5.2 A1.1.1 | W3	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
구성__07/NNG	NNG	구성__07	formation	A2.1+ O4.4 S5+c	GENERAL & ABSTRACT TERMS	연결
성명__10/NNG	NNG	성명__10	statement	Q2.1 | Q2.1 I1/Q1.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
채권__01/NNG	NNG	채권__01	bonds	A1.7+ S3.1 | S5+ I1.1 A1.7+ | Z3c	GENERAL & ABSTRACT TERMS	연결
위탁하/VV	VV	위탁하	entrusted	A9- S7.1+ S7.4+	GENERAL & ABSTRACT TERMS	연결
항제/NNG	NNG	항제	Article	G2.1/P1 | Q4.2 O2 Q3 G2.1/P1@	GOVT. & THE PUBLIC DOMAIN	연결
요구하/VV	VV	요구하	requested	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
성장하__01/VV	VV	성장하__01	grown	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4 | T3+	NUMBERS & MEASUREMENT	연결
지구__04/NNG	NNG	지구__04	Earth	O3 | W3 W1 O1.1 O3 N5++	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
중국어/NNP	NNP	중국어	Chinese	Z2 Z2/Q3 Z2/S2mfnc | Z2/Q3 | Z2/Q3 Z2/S2mf	NAMES & GRAMMATICAL WORDS	연결
조작__02/NNG	NNG	조작__02	manipulation	A2.1+/G2.2- S7.1+ A1.1.1	GENERAL & ABSTRACT TERMS	연결
매년/MAG	MAG	매년	annual	N6+ | Q4.1 L3	NUMBERS & MEASUREMENT	연결
탄력/NNG	NNG	탄력	momentum	A2.1+ Y1 | Z3c	GENERAL & ABSTRACT TERMS	연결
여행__02/NNG	NNG	여행__02	traveling	M1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
조사하__12/VV	VV	조사하__12	investigated	X2.4	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
알/VV	VV	알	learned	X2.3+ X9.1+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
건립/NNG	NNG	건립	construction	H1 A1.1.1 O2 X2.1	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
복귀/NNG	NNG	복귀	return	M1 A9- N6 | M1 A9- S1.1.2+ N6 I1.1 G1.1/Q1.2 M3 K5.1 Y2% | M6 S1.1.2+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
추진하__02/VV	VV	추진하__02	pursue	A1.1.1 X8+ X2.4 M1	GENERAL & ABSTRACT TERMS	연결
